,label,p_neg,p_pos,p_neu
0,pos,0.28913079283,0.71086920717,0.0847094490044
1,neg,0.68250693414,0.31749306586,0.100354907946
2,pos,0.158438178047,0.841561821953,0.0932381799532
3,pos,0.135998679537,0.864001320463,0.101339537589
4,pos,0.139102285955,0.860897714045,0.0405247627085
5,neg,0.618309179175,0.381690820825,0.464848726376
6,pos,0.372489143493,0.627510856507,0.120949199619
7,neg,0.610917235965,0.389082764035,0.127781350325
8,pos,0.253419794247,0.746580205753,0.200224001193
9,pos,0.327323305882,0.672676694118,0.230105610602
10,neg,0.570765962352,0.429234037648,0.0692827364478
11,pos,0.131590526299,0.868409473701,0.347056162358
12,neg,0.515301608967,0.484698391033,0.120811824635
13,neutral,0.309697889323,0.690302110677,0.764462145884
14,pos,0.480472562604,0.519527437396,0.136283669105
15,neg,0.737938382266,0.262061617734,0.134516125583
16,neg,0.844475581771,0.155524418229,0.142732730448
17,pos,0.478717858781,0.521282141219,0.0724995941754
18,neg,0.662309825962,0.337690174038,0.147054940304
19,neg,0.642256735089,0.357743264911,0.140227964551
20,pos,0.39235414724,0.60764585276,0.04911641299
21,neg,0.557150770607,0.442849229393,0.030477444254
22,pos,0.197894832589,0.802105167411,0.19124893619
23,neutral,0.84698836456,0.15301163544,0.711028809522
24,pos,0.24558199121,0.75441800879,0.0547339849229
25,neg,0.540433747156,0.459566252844,0.13062564687
26,pos,0.45694387731,0.54305612269,0.424683477056
27,pos,0.429261442149,0.570738557851,0.106751927695
28,pos,0.413157797218,0.586842202782,0.105019507693
29,pos,0.125580510942,0.874419489058,0.111114186159
30,pos,0.376418315169,0.623581684831,0.0969834862932
31,neg,0.853997046936,0.146002953064,0.0714248749474
32,neg,0.509852394384,0.490147605616,0.481809251835
33,neg,0.599258350876,0.400741649124,0.122079901313
34,neg,0.56708398203,0.43291601797,0.141981570663
35,neg,0.756071555454,0.243928444546,0.231220017961
36,pos,0.22462494043,0.77537505957,0.301973784532
37,pos,0.298438542968,0.701561457032,0.0997933043308
38,pos,0.365131664247,0.634868335753,0.310248392844
39,neg,0.61706159283,0.38293840717,0.110849117807
40,neg,0.678049439113,0.321950560887,0.256246619545
41,neg,0.556074152575,0.443925847425,0.108432938329
42,pos,0.183236282686,0.816763717314,0.115432236262
43,pos,0.442480499369,0.557519500631,0.130543270529
44,neg,0.506008863358,0.493991136642,0.0879633425557
45,neg,0.580275249024,0.419724750976,0.0876940842242
46,pos,0.459825530581,0.540174469419,0.00132120601612
47,pos,0.363325146759,0.636674853241,0.0682983095019
48,pos,0.292753730324,0.707246269676,0.143218847558
49,neg,0.521394403627,0.478605596373,0.138845591048
50,neg,0.586837331995,0.413162668005,0.141353104526
51,neg,0.542256283868,0.457743716132,0.151488908398
52,pos,0.458405369428,0.541594630572,0.19850843578
