average_stars,name,review_count,type,user_id,votes_cool,votes_funny,votes_useful
5.0,Jim,6,user,CR2y7yEm4X035ZMzrTtN9Q,0,0,7
1.0,Kelle,2,user,_9GXoHhdxc30ujPaQwh6Ew,0,0,1
5.0,Stephanie,2,user,8mM-nqxjg6pT04kwcjMbsw,0,0,1
5.0,T,2,user,Ch6CdTR2IVaVANr-RglMOg,0,0,2
1.0,Beth,1,user,NZrLmHRyiHmyT1JrfzkCOA,0,0,0
3.79,Amy,19,user,mWx5Sxt_dx-sYBZg6RgJHQ,36,30,45
3.83,Beach,207,user,hryUDaRk7FLuDAYui2oldw,31,28,130
3.0,christine,2,user,2t6fZNLtiqsihVmeO7zggg,1,1,0
4.5,Denis,4,user,mn6F-eP5WU37b-iLTop2mQ,2,0,3
3.9,Shawn,10,user,myXq7PFXkD_yfXT580SXMw,9,5,24
3.4,Carey,6,user,EMpFiVyiaMS58XsLZdS6vA,6,3,16
3.4,Johnatton,5,user,74Y-B-8MJhshV7aYSQ93lQ,1,0,5
3.39,David,83,user,34ir_XnUsrqserEuSZdGQA,49,50,109
2.88,Marcus,8,user,1Aq2NzZGREMRdAkw55V7dg,1,1,3
5.0,Renee,1,user,B7XCvzvcriFc8xfIA-Wg4A,0,0,0
2.12,s,8,user,1aoDw1jVm5UQrVacWg0vnw,1,6,4
4.75,joe,4,user,iH6y1T5AZZxaKpSNmvjGWw,3,3,7
4.23,Na Humma,22,user,2tyadgcxcaEu5LWgLdwLAQ,0,2,24
3.64,Kay,11,user,mc2glxrNAZuPnCudIaoK4Q,4,0,10
3.75,Cara,4,user,LKFo-Z93fhHHF-CkXoXvLw,3,1,11
2.5,Shelly,2,user,09ZCt5inrt35zuJVtxBB5A,1,0,5
3.79,Ashley,56,user,aSwY5VAO1S0uZASZlZgB3A,31,9,81
4.5,Megan,7,user,oh3BckWd5WXSANfGlnjErQ,1,0,3
4.0,Ann-Marie,9,user,y5YxcvgbQX_uVW0UtHWKxA,0,0,7
3.67,Sandy,3,user,Vu29H1sy1poRld4LIL2Jqw,1,0,1
5.0,Juli,2,user,iK7I2HQ8kiyms_XuENr55w,1,0,1
5.0,Mike,1,user,QlSVps_q61IThBo489_Zyw,0,0,0
3.0,Jordan,3,user,mzenirXt-7sZR2RhkhvLDQ,0,5,15
3.62,Elizabeth,16,user,qMCT8OblN3finTvXcba-oA,5,13,21
4.5,Dan,4,user,jy94hgtLcuD0BbZ7o8KCYQ,3,1,7
5.0,Beth,3,user,8lrTKMjIJ9kt7rfVtjq3qg,2,0,2
3.8,Scott,6,user,IcSsf2QCA7T-KpdraDxTew,2,0,3
3.86,Michael,8,user,d09KNIq4YPYq1u5nVyqIUg,0,0,2
5.0,Kelly,1,user,vxxNafFH_OMD5B1l231toA,0,0,0
3.17,Leslie,6,user,bwPaqC08ddUoq-zminI3bw,1,0,5
4.0,Steve,3,user,LzT8mSfliJHhs68RTwQW5w,0,4,3
1.33,Kathey,4,user,vAAeeV-kqabpuVr-DmtdFA,0,1,4
3.75,Clay,8,user,R75rQfzSeXzO9LVh0MFjJg,2,2,8
5.0,Amanda,1,user,D_nff52rbs-OCZbVXeCqzg,1,0,4
2.62,Amy,8,user,6lyD0ZdmmYZsOMFFwOWsog,1,0,3
4.33,LaToya,3,user,hqjDAPapGKJ3U4wUN1dGMA,3,1,5
3.79,Kate,155,user,iR8iTaCOjQCM-JG4qf23NQ,147,113,386
3.89,DAVID,18,user,1Md7FNu_GujIwxbb9TqSqQ,1,1,3
4.0,Camille,9,user,-LmTXrlHEfLpDi34FVXNAg,0,0,1
4.2,Lorena,5,user,ysZSP646Ikjb9pPKxuBurw,0,1,2
4.27,Riana,30,user,gXQ3peDz-H8mFZO_U4ys3w,37,21,38
3.87,Mimi,15,user,8gIp7Emu7xBDnBjRKgkSOg,8,5,17
4.07,Kelsey,41,user,44302NAooinHOKKIWHDKXA,12,8,20
5.0,Mary,1,user,BDa9RGFZv9TV2lGAiuqjxQ,1,1,1
4.11,Carmen,27,user,qw8n1PUrt4qBh-4eMjfv0Q,2,1,14
4.78,Syd,10,user,F2M53He6gzMb1vp3m7cKJg,0,0,3
2.0,Kristina,2,user,Mcdt7tUA7jqiqCtyxXgq4g,0,0,0
4.33,O,3,user,q10h5nL1LnbaKMlNOfahfQ,1,2,6
